contract_name,file_path,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls
Uni,blockchain/contracts/collected/Uni_0x1f9840a8.sol,False,False,True,False,0,1,15,24,10,17,0,14,0
BMEX,blockchain/contracts/collected/BMEX_0xb113c6cf.sol,True,False,False,False,0,1,24,25,11,7,0,1,0
GateChainToken,blockchain/contracts/collected/GateChainToken_0xe66747a1.sol,False,False,False,False,0,1,5,15,11,9,2,9,0
GateChainToken,blockchain/contracts/collected/GateChainToken_0xe66747a1.sol,False,False,False,False,0,1,5,15,11,9,2,9,0
ProxyERC20,blockchain/contracts/collected/ProxyERC20_0xc011a73e.sol,False,True,False,False,3,2,14,10,12,0,0,1,0
NXMToken,blockchain/contracts/collected/NXMToken_0xd7c49cee.sol,False,False,True,False,0,0,15,23,14,9,2,3,0
Comp,blockchain/contracts/collected/Comp_0xc00e94cb.sol,False,False,True,False,0,1,5,20,3,12,0,14,0
ERC677MultiBridgeToken,blockchain/contracts/collected/ERC677MultiBridgeToken_0x0Ae05509.sol,True,False,True,True,0,0,63,6,4,4,0,4,0
Uni,blockchain/contracts/collected/Uni_0x1f9840a8.sol,False,False,True,False,0,1,15,24,10,17,0,14,0
AdminUpgradeabilityProxy,blockchain/contracts/collected/AdminUpgradeabilityProxy_0xCC4304A3.sol,False,False,False,True,0,0,19,2,0,0,0,1,0
AnyswapV5ERC20,blockchain/contracts/collected/AnyswapV5ERC20_0x9Fb9a339.sol,True,False,True,True,1,1,33,44,18,23,2,5,0
NexoToken,blockchain/contracts/collected/NexoToken_0xb62132e3.sol,False,False,True,False,0,3,43,11,0,33,0,11,0
YFI,blockchain/contracts/collected/YFI_0x0bc529c0.sol,False,False,False,True,0,0,21,5,0,2,0,1,0
SDT,blockchain/contracts/collected/SDT_0x73968b9a.sol,False,False,False,True,0,0,35,1,0,0,0,1,0
AdminUpgradeabilityProxy,blockchain/contracts/collected/AdminUpgradeabilityProxy_0x45804880.sol,False,False,False,True,0,3,15,10,2,1,1,1,1
Melon,blockchain/contracts/collected/Melon_0xec67005c.sol,False,False,False,False,0,0,20,6,1,9,4,1,0
MiniMeToken,blockchain/contracts/collected/MiniMeToken_0x5a98fcbe.sol,True,False,False,False,1,2,55,22,12,12,0,12,0
YFI,blockchain/contracts/collected/YFI_0x0bc529c0.sol,False,False,False,True,0,0,21,5,0,2,0,1,0
Dai,blockchain/contracts/collected/Dai_0x6b175474.sol,False,False,True,False,0,0,4,15,3,11,1,3,0
